rb_id,player_name,team,season,week,rushing_yards,attempts,offense_pct,opponent,opponent_rush_defense_rank,rb_rush_yards_last5,rb_rush_attempts_last5,rb_injury_status,is_dome,rest_advantage,spread_line,total_line
00-0036275,D'Andre Swift,DET,2021,11,136.0,14,0.73,CLE,6.0,56.0,16.4,0,0,0,-13.0,42.5
00-0036265,A.J. Dillon,GB,2021,11,53.0,11,0.75,MIN,3.0,,,0,1,0,1.0,48.0
00-0036223,Jonathan Taylor,IND,2021,11,185.0,32,0.83,BUF,10.0,122.0,17.6,0,0,0,-7.5,49.5
00-0035831,James Robinson,JAX,2021,11,29.0,12,0.63,SF,8.0,74.4,13.8,1,0,1,-6.5,45.0
00-0033699,Austin Ekeler,LAC,2021,11,50.0,11,0.7,PIT,14.0,48.0,12.4,0,1,0,5.5,47.5
00-0035700,Josh Jacobs,LV,2021,11,37.0,9,0.66,CIN,9.0,47.0,14.666666666666666,0,1,-7,-1.0,50.5
00-0035311,Myles Gaskin,MIA,2021,11,89.0,23,0.74,NYJ,17.0,36.4,11.8,0,0,3,3.5,44.5
00-0033893,Dalvin Cook,MIN,2021,11,86.0,22,0.76,GB,4.0,110.6,22.0,0,1,0,-1.0,48.0
00-0027966,Mark Ingram,NO,2021,11,88.0,16,0.72,PHI,12.0,47.0,14.0,0,0,0,-2.5,42.5
00-0034844,Saquon Barkley,NYG,2021,11,25.0,6,0.62,TB,7.0,53.333333333333336,14.0,1,0,7,-11.5,49.5
00-0036893,Najee Harris,PIT,2021,11,39.0,12,0.75,LAC,15.0,92.2,24.2,0,1,0,-5.5,47.5
00-0034253,Dontrell Hilliard,TEN,2021,11,35.0,7,0.63,HOU,13.0,,,0,0,-7,10.5,44.5
00-0035250,Devin Singletary,BUF,2021,12,44.0,15,0.68,NO,2.0,56.666666666666664,10.0,0,1,0,7.0,45.0
00-0035685,David Montgomery,CHI,2021,12,46.0,17,0.84,DET,14.0,64.4,16.0,0,1,0,2.0,41.5
00-0033897,Joe Mixon,CIN,2021,12,165.0,28,0.72,PIT,11.0,76.2,18.2,0,0,0,3.5,43.5
00-0033045,Ezekiel Elliott,DAL,2021,12,25.0,9,0.64,LV,15.0,80.8,16.6,0,1,0,7.0,51.0
00-0033948,Jamaal Williams,DET,2021,12,65.0,15,0.63,CHI,8.0,,,0,1,0,-2.0,41.5
00-0030288,Rex Burkhead,HOU,2021,12,27.0,12,0.61,NYJ,13.0,,,0,1,0,3.0,44.5
00-0036223,Jonathan Taylor,IND,2021,12,83.0,16,0.71,TB,5.0,130.0,21.2,0,1,1,-3.0,53.0
00-0035664,Darrell Henderson,LA,2021,12,55.0,16,0.81,GB,7.0,59.8,13.2,0,0,6,2.0,47.0
00-0033699,Austin Ekeler,LAC,2021,12,31.0,12,0.68,DEN,12.0,44.8,11.2,0,0,-7,2.5,47.5
00-0035700,Josh Jacobs,LV,2021,12,87.0,22,0.66,DAL,1.0,44.5,13.25,0,1,0,-7.0,51.0
00-0034844,Saquon Barkley,NYG,2021,12,40.0,13,0.87,PHI,9.0,46.25,12.0,1,0,-1,-4.0,45.5
00-0036425,DeeJay Dallas,SEA,2021,12,4.0,3,0.6,WAS,3.0,,,0,0,0,1.0,47.0
